Z,E,Element,A,Representative isotopic composition,Notes,Mean value,idx
54,Xe,xenon,132, 0.269 09(55),g m,0.26909,54132
54,Xe,xenon,134, 0.104 36(35),g m,0.10436,54134
54,Xe,xenon,136, 0.088 57(72),g m,0.08857000000000001,54136
55,Cs,caesium,133, 1,g m,1.0,55133
56,Ba,barium,130, 0.0011(1),g m,0.0011,56130
56,Ba,barium,132, 0.0010(1),g m,0.001,56132
56,Ba,barium,134, 0.0242(15),g m,0.0242,56134
56,Ba,barium,135, 0.0659(10),g m,0.0659,56135
56,Ba,barium,136, 0.0785(24),g m,0.0785,56136
56,Ba,barium,137, 0.1123(23),g m,0.1123,56137
56,Ba,barium,138, 0.7170(29),g m,0.7170000000000001,56138
57,La,lanthanum,138, 0.000 8881(71),g,0.0008881000000000001,57138
57,La,lanthanum,139, 0.999 1119(71),g,0.9991119,57139
58,Ce,cerium,136, 0.001 86(2),g,0.00186,58136
58,Ce,cerium,138, 0.002 51(2),g,0.00251,58138
58,Ce,cerium,140, 0.884 49(51),g,0.88449,58140
58,Ce,cerium,142, 0.111 14(51),g,0.11114,58142
59,Pr,praseodymium,141, 1,g,1.0,59141
60,Nd,neodymium,142, 0.271 53(40),g,0.27153,60142
60,Nd,neodymium,143, 0.121 73(26),g,0.12172999999999999,60143
60,Nd,neodymium,144, 0.237 98(19),g,0.23798000000000002,60144
60,Nd,neodymium,145, 0.082 93(12),g,0.08292999999999999,60145
60,Nd,neodymium,146, 0.171 89(32),g,0.17189000000000002,60146
60,Nd,neodymium,148, 0.057 56(21),g,0.05756,60148
60,Nd,neodymium,150, 0.056 38(28),g,0.05637999999999999,60150
61,Pm,promethium,145, 1,g,1.0,61145
62,Sm,samarium,144, 0.0308(4),g,0.0308,62144
62,Sm,samarium,147, 0.1500(14),g,0.15,62147
62,Sm,samarium,148, 0.1125(9),g,0.1125,62148
62,Sm,samarium,149, 0.1382(10),g,0.1382,62149
62,Sm,samarium,150, 0.0737(9),g,0.0737,62150
62,Sm,samarium,152, 0.2674(9),g,0.2674,62152
62,Sm,samarium,154, 0.2274(14),g,0.2274,62154
63,Eu,europium,151, 0.4781(6),g,0.4781,63151
63,Eu,europium,153, 0.5219(6),g,0.5219,63153
64,Gd,gadolinium,152, 0.0020(3),g,0.002,64152
64,Gd,gadolinium,154, 0.0218(2),g,0.0218,64154
64,Gd,gadolinium,155, 0.1480(9),g,0.14800000000000002,64155
64,Gd,gadolinium,156, 0.2047(3),g,0.2047,64156
64,Gd,gadolinium,157, 0.1565(4),g,0.1565,64157
64,Gd,gadolinium,158, 0.2484(8),g,0.2484,64158
