Origin: https://ciaaw.org/isotopic-abundances.html

Z,E,Element,A,Representative isotopic composition,Notes,Mean value,idx,Atomic Mass
66,Dy,dysprosium,158, 0.000 95(3),g,0.00095,66158,157.9244159
66,Dy,dysprosium,160, 0.023 29(18),g,0.02329,66160,159.9252046
66,Dy,dysprosium,161, 0.188 89(42),g,0.18889,66161,160.9269405
66,Dy,dysprosium,162, 0.254 75(36),g,0.25475,66162,161.9268056
66,Dy,dysprosium,163, 0.248 96(42),g,0.24896,66163,162.9287383
66,Dy,dysprosium,164, 0.282 60(54),g,0.2826,66164,163.9291819
67,Ho,holmium,165, 1,g,1.0,67165,164.9303288
68,Er,erbium,162, 0.001 39(5),g,0.00139,68162,161.9287884
68,Er,erbium,164, 0.016 01(3),g,0.01601,68164,163.9292088
68,Er,erbium,166, 0.335 03(36),g,0.33503,68166,165.9302995
68,Er,erbium,167, 0.228 69(9),g,0.22869,68167,166.9320546
68,Er,erbium,168, 0.269 78(18),g,0.26978,68168,167.9323767
68,Er,erbium,170, 0.149 10(36),g,0.1491,68170,169.9354702
69,Tm,thulium,169, 1,g,1.0,69169,168.9342179
70,Yb,ytterbium,168, 0.001 26(1),g,0.00126,70168,167.9338896
70,Yb,ytterbium,170, 0.030 23(2),g,0.03023,70170,169.9347664
70,Yb,ytterbium,171, 0.142 16(7),g,0.14215999999999998,70171,170.9363302
70,Yb,ytterbium,172, 0.217 54(10),g,0.21754,70172,171.9363859
70,Yb,ytterbium,173, 0.160 98(9),g,0.16097999999999998,70173,172.9382151
70,Yb,ytterbium,174, 0.318 96(26),g,0.31895999999999997,70174,173.9388664
70,Yb,ytterbium,176, 0.128 87(30),g,0.12887,70176,175.9425764
71,Lu,lutetium,175, 0.974 01(13),g,0.97401,71175,174.9407752
71,Lu,lutetium,176, 0.025 99(13),g,0.02599,71176,175.9426897
72,Hf,hafnium,174, 0.0016(12),g,0.0016,72174,173.9400461
72,Hf,hafnium,176, 0.0526(70),g,0.0526,72176,175.9414076
72,Hf,hafnium,177, 0.1860(16),g,0.18600000000000003,72177,176.9432277
72,Hf,hafnium,178, 0.2728(28),g,0.2728,72178,177.9437058
72,Hf,hafnium,179, 0.1362(11),g,0.1362,72179,178.9458232
72,Hf,hafnium,180, 0.3508(33),g,0.3508,72180,179.946557
73,Ta,tantalum,180, 0.000 1176(23),g,0.0001176,73180,179.9474648
